Timestamp,"DATA PRIVACY NOTICE. The Visayas State University (VSU), in line with the Data Privacy Act of 2012, is committed to protect and secure personal information obtained in the process of performance of its mandate. The personal information you provided manually herein will be processed and utilized solely for training administration. Collected personal information will be kept/stored and accessed only by authorized ViSERDAC personnel. This will not be shared with any outside parties unless written consent is secured. Information will be stored for three (3) years after which physical records shall be disposed or destroyed following the disposition process provided by the National Archives of the Philippines.",Sex,Civil status,Age,Position/Designation,Employment Status,Years in service (If working individual),Highest Educational Attainment,Field of Specialization,Expectations about the training-workshop on the basics of Structural Equation Modelling (SEM) using R
9/17/2021 9:57:07,Agree,Female,Single,35,INSTRUCTOR,Regular-Temporary,4,Masteral,Agribusiness,Learn about R
9/17/2021 10:04:47,Agree,Female,Married,35,Research Coordinator,Regular-Permanent,8 years,Doctoral,Mathematics/Statistics,To know how to apply SEM using R in data analysis
9/17/2021 10:12:48,Agree,Female,Married,42,Instructor II/ CQMR,Regular-Permanent,7,Masteral,Engineering & Mathematics,Informative
9/17/2021 10:12:49,Agree,Female,Single,35,INSTRUCTOR 1-SUB,Casual,4,Masteral,"BUSINESS MANAGEMENT, LAND MANAGEMENT",Hmmmm
9/17/2021 10:12:50,Agree,Female,Single,25,Graduate Student,Others (e.g. Student),4,Bachelor,"Data analytics, econometrics",The workshop will cover basic coding in R :)
9/17/2021 10:18:30,Agree,Female,Single,24,MS Student,Others (e.g. Student),,Bachelor,Agricultural Economics Major in Natural Resource Economics Minor in Environmental Science,I expect that this will be very helpful in my research studies
9/17/2021 10:34:01,Agree,Male,Single,22 y.o,Instructor,Contractual/JO,,Bachelor,None,.
9/17/2021 10:34:26,Agree,Male,Married,31,Instructor 3,Regular-Temporary,1,Masteral,Horticulture,What area does this modelling can be used
9/17/2021 10:36:58,Agree,Female,Married,26,Instructor I,Regular-Permanent,3,Masteral,Food Science,That we can learn how to do SEM
9/17/2021 10:37:17,Agree,Female,Single,24,Special Projects Division,Contractual/JO,3,Masteral,Agricultural Economics,To learn
9/17/2021 10:40:53,Agree,Female,Single,27,Student,Others (e.g. Student),,Bachelor,Statistics,Learning more about using R
9/17/2021 10:42:14,Agree,Female,Single,25,Instructor 6,Regular-Temporary,,Bachelor,Agricultural Economics,provision of discussion on designing the model and a workshop on its implementation
9/17/2021 10:43:12,Agree,Female,Single,20,Student,Others (e.g. Student),NA,Bachelor,Business Econ,Lots of learnings
9/17/2021 10:45:18,Agree,Female,Single,44,Assistant Professor,Regular-Permanent,,Doctoral,Agribusiness,Step by step guide
9/17/2021 10:48:29,Agree,Female,Single,27,INSTRUCTOR,Casual,5,Bachelor,Agribusiness Management,To be familiar with SEM and R.
9/17/2021 10:49:10,Agree,Female,Single,44,Assistant Professor,Regular-Permanent,6,Doctoral,Public Policy,Understand better the process using R
9/17/2021 10:49:58,Agree,Female,Married,46,Graduate Student,Others (e.g. Student),,Masteral,Development studies,"Familiarize myself with SEM, particularly CFA and EFA and see how I can use them thru R in my dissertation"
9/17/2021 10:52:11,Agree,Male,Single,27,Instructor,Regular-Temporary,3,Masteral,"Thermo-fluidic Science, Mathematics",N/A
9/17/2021 10:52:30,Agree,Female,Single,29,University Researcher I,Regular-Temporary,8,Bachelor,"Strategic Planning, Communication Studies",i will be more well versed on the various uses of R.
9/17/2021 11:17:35,Agree,Male,Single,29,College Instructor,Regular-Permanent,8,Masteral,Environmental Science,Learn more packages from R
9/17/2021 11:26:32,Agree,Male,Married,32,Assistant Professor,Regular-Permanent,12,Masteral,Agricultural Economics,Hopefully there is a guided workshop for the participants.
